"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","2005","Mining and quarrying (05 to 09)","Gross Value Added (GVA) at Basic Prices","Euro Million","575"
"Gross Value Added (GVA) at Current Market Prices","2005","Food products, beverages and tobacco (10 to 12)","Compensation of Employees","Euro Million","1934"
"Gross Value Added (GVA) at Current Market Prices","2005","Food products, beverages and tobacco (10 to 12)","Net Operating Surplus and Net Mixed Income","Euro Million","3239"
"Gross Value Added (GVA) at Current Market Prices","2005","Food products, beverages and tobacco (10 to 12)","Consumption of Fixed Capital","Euro Million","484"
"Gross Value Added (GVA) at Current Market Prices","2005","Food products, beverages and tobacco (10 to 12)","Other Taxes less Other Subsidies on Production","Euro Million","75"
"Gross Value Added (GVA) at Current Market Prices","2005","Food products, beverages and tobacco (10 to 12)","Gross Value Added (GVA) at Basic Prices","Euro Million","5732"
"Gross Value Added (GVA) at Current Market Prices","2005","Textiles, wearing apparel and leather products (13 to 15)","Compensation of Employees","Euro Million","172"
"Gross Value Added (GVA) at Current Market Prices","2005","Textiles, wearing apparel and leather products (13 to 15)","Net Operating Surplus and Net Mixed Income","Euro Million","18"
"Gross Value Added (GVA) at Current Market Prices","2005","Textiles, wearing apparel and leather products (13 to 15)","Consumption of Fixed Capital","Euro Million","52"
"Gross Value Added (GVA) at Current Market Prices","2005","Textiles, wearing apparel and leather products (13 to 15)","Other Taxes less Other Subsidies on Production","Euro Million","19"
"Gross Value Added (GVA) at Current Market Prices","2005","Textiles, wearing apparel and leather products (13 to 15)","Gross Value Added (GVA) at Basic Prices","Euro Million","261"
"Gross Value Added (GVA) at Current Market Prices","2005","Wood and wood products, except furniture (16)","Compensation of Employees","Euro Million","264"
"Gross Value Added (GVA) at Current Market Prices","2005","Wood and wood products, except furniture (16)","Net Operating Surplus and Net Mixed Income","Euro Million","159"
"Gross Value Added (GVA) at Current Market Prices","2005","Wood and wood products, except furniture (16)","Consumption of Fixed Capital","Euro Million","37"
"Gross Value Added (GVA) at Current Market Prices","2005","Wood and wood products, except furniture (16)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2005","Wood and wood products, except furniture (16)","Gross Value Added (GVA) at Basic Prices","Euro Million","464"
"Gross Value Added (GVA) at Current Market Prices","2005","Paper and paper products (17)","Compensation of Employees","Euro Million","183"
"Gross Value Added (GVA) at Current Market Prices","2005","Paper and paper products (17)","Net Operating Surplus and Net Mixed Income","Euro Million","31"
"Gross Value Added (GVA) at Current Market Prices","2005","Paper and paper products (17)","Consumption of Fixed Capital","Euro Million","26"
"Gross Value Added (GVA) at Current Market Prices","2005","Paper and paper products (17)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","2005","Paper and paper products (17)","Gross Value Added (GVA) at Basic Prices","Euro Million","242"
"Gross Value Added (GVA) at Current Market Prices","2005","Printing and reproduction of recorded media (18)","Compensation of Employees","Euro Million","247"
"Gross Value Added (GVA) at Current Market Prices","2005","Printing and reproduction of recorded media (18)","Net Operating Surplus and Net Mixed Income","Euro Million","534"
"Gross Value Added (GVA) at Current Market Prices","2005","Printing and reproduction of recorded media (18)","Consumption of Fixed Capital","Euro Million","42"
"Gross Value Added (GVA) at Current Market Prices","2005","Printing and reproduction of recorded media (18)","Other Taxes less Other Subsidies on Production","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","2005","Printing and reproduction of recorded media (18)","Gross Value Added (GVA) at Basic Prices","Euro Million","830"
"Gross Value Added (GVA) at Current Market Prices","2005","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Compensation of Employees","Euro Million","4587"
"Gross Value Added (GVA) at Current Market Prices","2005","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Net Operating Surplus and Net Mixed Income","Euro Million","14867"
"Gross Value Added (GVA) at Current Market Prices","2005","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Consumption of Fixed Capital","Euro Million","2743"
"Gross Value Added (GVA) at Current Market Prices","2005","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Other Taxes less Other Subsidies on Production","Euro Million","143"
"Gross Value Added (GVA) at Current Market Prices","2005","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Gross Value Added (GVA) at Basic Prices","Euro Million","22340"
"Gross Value Added (GVA) at Current Market Prices","2005","Rubber and plastic products (22)","Compensation of Employees","Euro Million","406"
"Gross Value Added (GVA) at Current Market Prices","2005","Rubber and plastic products (22)","Net Operating Surplus and Net Mixed Income","Euro Million","181"
"Gross Value Added (GVA) at Current Market Prices","2005","Rubber and plastic products (22)","Consumption of Fixed Capital","Euro Million","69"
"Gross Value Added (GVA) at Current Market Prices","2005","Rubber and plastic products (22)","Other Taxes less Other Subsidies on Production","Euro Million","12"
"Gross Value Added (GVA) at Current Market Prices","2005","Rubber and plastic products (22)","Gross Value Added (GVA) at Basic Prices","Euro Million","667"
"Gross Value Added (GVA) at Current Market Prices","2005","Other non-metallic mineral products (23)","Compensation of Employees","Euro Million","465"
"Gross Value Added (GVA) at Current Market Prices","2005","Other non-metallic mineral products (23)","Net Operating Surplus and Net Mixed Income","Euro Million","335"
"Gross Value Added (GVA) at Current Market Prices","2005","Other non-metallic mineral products (23)","Consumption of Fixed Capital","Euro Million","197"
"Gross Value Added (GVA) at Current Market Prices","2005","Other non-metallic mineral products (23)","Other Taxes less Other Subsidies on Production","Euro Million","18"
"Gross Value Added (GVA) at Current Market Prices","2005","Other non-metallic mineral products (23)","Gross Value Added (GVA) at Basic Prices","Euro Million","1015"
"Gross Value Added (GVA) at Current Market Prices","2005","Basic metals (24)","Compensation of Employees","Euro Million","97"
"Gross Value Added (GVA) at Current Market Prices","2005","Basic metals (24)","Net Operating Surplus and Net Mixed Income","Euro Million","101"
"Gross Value Added (GVA) at Current Market Prices","2005","Basic metals (24)","Consumption of Fixed Capital","Euro Million","28"
"Gross Value Added (GVA) at Current Market Prices","2005","Basic metals (24)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2005","Basic metals (24)","Gross Value Added (GVA) at Basic Prices","Euro Million","231"
"Gross Value Added (GVA) at Current Market Prices","2005","Fabricated metal products, except machinery and equipment (25)","Compensation of Employees","Euro Million","557"
"Gross Value Added (GVA) at Current Market Prices","2005","Fabricated metal products, except machinery and equipment (25)","Net Operating Surplus and Net Mixed Income","Euro Million","240"
"Gross Value Added (GVA) at Current Market Prices","2005","Fabricated metal products, except machinery and equipment (25)","Consumption of Fixed Capital","Euro Million","51"
"Gross Value Added (GVA) at Current Market Prices","2005","Fabricated metal products, except machinery and equipment (25)","Other Taxes less Other Subsidies on Production","Euro Million","17"
"Gross Value Added (GVA) at Current Market Prices","2005","Fabricated metal products, except machinery and equipment (25)","Gross Value Added (GVA) at Basic Prices","Euro Million","865"
"Gross Value Added (GVA) at Current Market Prices","2005","Electrical equipment (27)","Compensation of Employees","Euro Million","163"
"Gross Value Added (GVA) at Current Market Prices","2005","Electrical equipment (27)","Net Operating Surplus and Net Mixed Income","Euro Million","35"
"Gross Value Added (GVA) at Current Market Prices","2005","Electrical equipment (27)","Consumption of Fixed Capital","Euro Million","49"
"Gross Value Added (GVA) at Current Market Prices","2005","Electrical equipment (27)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","2005","Electrical equipment (27)","Gross Value Added (GVA) at Basic Prices","Euro Million","250"
"Gross Value Added (GVA) at Current Market Prices","2005","Motor vehicles, trailers and semi-trailers (29)","Compensation of Employees","Euro Million","118"
"Gross Value Added (GVA) at Current Market Prices","2005","Motor vehicles, trailers and semi-trailers (29)","Net Operating Surplus and Net Mixed Income","Euro Million","66"
